datestamp,market,quantity,trade,open,close,pnl
04/05/2016 15:33,UK 100 CFD,5,0,6162,6126,-180
04/05/2016 14:48,UK 100 DFT,1,1,6161.8,6114.5,47.3
04/05/2016 09:21,UK 100 DFT,1,1,6161.8,6162,-0.2
03/05/2016 17:04,UK 100 DFT,0.71,1,6189.7,6188.5,0.85
03/05/2016 17:04,UK 100 CFD,5,0,6273.3,6187,-431.5
29/04/2016 15:54,UK 100 DFT,1,1,6264,6264.1,-0.1
29/04/2016 15:37,UK 100 DFT,1,1,6247,6290.1,-43.1
29/04/2016 15:05,Wall Street CFD,1,1,17822.5,17710,76.5
29/04/2016 14:59,UK 100 DFT,1,1,6281,6253.9,27.1
29/04/2016 14:59,Japan 225 CFD,70,1,16082,16053,12.85
26/04/2016 15:30,Wall Street CFD,1,0,17916.4,17969.5,36.15
26/04/2016 15:30,Wall Street CFD,1,0,17994.5,17969.5,-17.19
25/04/2016 13:41,UK 100 DFT,0.71,1,6338.8,6273.5,46.36
15/04/2016 17:00,UK 100 DFT,0.71,0,6343.8,6338.7,-3.62
15/04/2016 16:00,UK 100 DFT,0.71,1,6340.5,6343,-1.78
15/04/2016 16:00,Wall Street CFD,1,1,17913.5,17916.5,-2.13
15/04/2016 15:30,UK 100 DFT,0.71,0,6340.8,6340.7,-0.07
15/04/2016 15:30,Wall Street CFD,1,0,17909.9,17913.5,2.53
15/04/2016 11:58,Wall Street CFD,1,0,17908.5,17900.1,-5.95
15/04/2016 11:58,UK 100 CFD,5,0,6363.1,6339.5,-118
15/04/2016 11:49,UK 100 DFT,1,0,6345,6340.2,-4.8
14/04/2016 10:35,UK 100 CFD,5,1,6371,6356.8,71
13/04/2016 17:03,UK 100 DFT,0.71,0,6331.9,6360.8,20.52
13/04/2016 17:03,Wall Street CFD,1,0,17819.6,17866.6,32.89
13/04/2016 14:31,Wall Street CFD,1,1,17811.9,17819.6,-5.44
13/04/2016 13:30,UK 100 CFD,1,0,6332.4,6330,-2.4
13/04/2016 12:31,UK 100 DFT,0.71,1,6331.3,6331.9,-0.43
13/04/2016 12:00,Wall Street CFD,1,1,17801.9,17824.3,-15.8
13/04/2016 10:28,Wall Street CFD,1,1,17604.5,17823,-154.27
11/04/2016 16:00,Wall Street CFD,1,0,17654.6,17604.4,-35.38
11/04/2016 16:00,UK 100 DFT,0.71,0,6208.2,6197,-7.95
11/04/2016 14:00,Wall Street CFD,1,1,17622.9,17654,-21.95
11/04/2016 14:00,UK 100 DFT,0.71,1,6200.5,6208.2,-5.47
11/04/2016 13:30,Wall Street CFD,1,0,17646.1,17623,-16.31
11/04/2016 13:00,UK 100 DFT,0.71,0,6211.5,6200.5,-7.81
11/04/2016 12:00,UK 100 DFT,0.71,1,6199.4,6211.6,-8.66
11/04/2016 10:30,UK 100 DFT,0.71,0,6219,6199.4,-13.92
08/04/2016 08:26,UK 100 DFT,0.71,0,6141,6184.5,30.89
08/04/2016 08:26,Wall Street CFD,1,0,17562.1,17642.1,56.56
08/04/2016 05:00,Wall Street CFD,1,1,17552.6,17562.1,-6.79
08/04/2016 05:00,UK 100 DFT,0.71,1,6132.3,6141,-6.18
08/04/2016 04:30,UK 100 DFT,0.71,0,6127.1,6132.3,3.69
08/04/2016 04:30,Wall Street CFD,1,0,17530,17552.6,15.99
08/04/2016 01:30,Wall Street CFD,1,1,17539.4,17530,6.65
07/04/2016 21:00,UK 100 DFT,0.71,1,6124,6127.1,-2.2
07/04/2016 19:00,Wall Street CFD,1,0,17571.5,17539.4,-22.95
07/04/2016 19:00,UK 100 DFT,0.71,0,6142.8,6124,-13.35
07/04/2016 10:16,Germany 30 CFD,1,0,9656.7,9648.6,-6.59
07/04/2016 10:16,UK 100 DFT,1,1,6186.6,6175.5,11.1
07/04/2016 10:16,Wall Street CFD,1,1,17684.3,17672.9,8.07
07/04/2016 09:50,UK 100 DFT,1,0,6185.5,6186.3,0.8
07/04/2016 09:45,Wall Street CFD,1,0,17707.1,17684.3,-16.28
07/04/2016 09:10,UK 100 DFT,1,1,6173.5,6185.5,-12
07/04/2016 08:50,UK 100 DFT,1,0,6174,6173.5,-0.5
07/04/2016 08:00,UK 100 DFT,1,1,6170,6174.8,-4.8
07/04/2016 08:00,Germany 30 CFD,1,1,9642.6,9656.4,-11.25
07/04/2016 07:40,UK 100 DFT,1,0,6176.8,6170,-6.8
07/04/2016 06:15,Wall Street CFD,1,1,17697.1,17707.1,-7.12
07/04/2016 06:10,UK 100 DFT,1,1,6162.6,6176.8,-14.2
07/04/2016 06:00,Wall Street CFD,1,0,17701.8,17697.1,-3.35
07/04/2016 05:50,UK 100 DFT,1,0,6170.8,6162.6,-8.2
07/04/2016 05:00,Wall Street CFD,1,1,17692.6,17701.8,-6.55
07/04/2016 04:45,Wall Street CFD,1,0,17699.2,17692.6,-4.7
07/04/2016 04:30,Wall Street CFD,1,1,17713.6,17699.2,10.15
07/04/2016 04:20,UK 100 DFT,1,1,6168,6171,-3
07/04/2016 04:00,Germany 30 CFD,1,0,9662.1,9642.6,-15.82
07/04/2016 03:00,Germany 30 CFD,1,1,9646.4,9662.1,-12.73
07/04/2016 03:00,Wall Street CFD,1,0,17711.5,17713.6,1.48
07/04/2016 02:00,UK 100 DFT,1,0,6177,6168,-9
07/04/2016 01:30,Wall Street CFD,1,1,17703.3,17711.5,-5.83
07/04/2016 01:30,UK 100 DFT,1,1,6165.5,6177,-11.5
07/04/2016 01:20,UK 100 DFT,1,0,6169.3,6165.5,-3.8
07/04/2016 01:10,UK 100 DFT,1,1,6166.6,6169.3,-2.7
07/04/2016 01:00,Wall Street CFD,1,0,17707.7,17703.3,-3.13
06/04/2016 23:00,UK 100 DFT,1,0,6158.8,6167.6,8.8
06/04/2016 22:00,Wall Street CFD,1,0,17689.4,17710.4,14.79
06/04/2016 20:15,Wall Street CFD,1,1,17673.2,17689.4,-11.53
06/04/2016 20:00,UK 100 DFT,1,1,6156.8,6158.8,-2
06/04/2016 19:00,UK 100 DFT,1,0,6150.8,6156.8,6
06/04/2016 19:00,Wall Street CFD,1,0,17695.5,17672.6,-16.3
06/04/2016 18:15,Wall Street CFD,1,1,17668.6,17695.5,-19.13
06/04/2016 18:00,Wall Street CFD,1,0,17680.6,17668,-8.96
06/04/2016 17:45,Wall Street CFD,1,1,17674.6,17680.6,-4.26
06/04/2016 17:20,UK 100 DFT,1,1,6147.7,6149.5,-1.8
06/04/2016 17:10,UK 100 DFT,1,0,6129.3,6147.8,18.5
06/04/2016 16:33,Germany 30 CFD,1,0,9579.1,9632.2,42.67
06/04/2016 16:33,Wall Street CFD,1,0,17606.8,17677.4,49.8
06/04/2016 16:00,Germany 30 CFD,1,1,9539.5,9579.1,-32.14
06/04/2016 15:50,UK 100 DFT,1,1,6121.7,6129,-7.3
06/04/2016 15:00,Wall Street CFD,1,1,17635.9,17578.5,40.58
06/04/2016 15:00,Germany 30 CFD,1,0,9538.7,9539.5,0.64
06/04/2016 14:50,UK 100 DFT,1,0,6126,6121.7,-4.3
06/04/2016 14:40,UK 100 DFT,1,1,6132.5,6126,6.5
06/04/2016 13:30,UK 100 DFT,1,0,6124.5,6132.5,8
06/04/2016 13:30,Wall Street CFD,1,0,17653.9,17636.1,-12.74
06/04/2016 13:00,Wall Street CFD,1,1,17637.9,17654,-11.54
06/04/2016 12:45,Wall Street CFD,1,0,17643.1,17637.9,-3.73
06/04/2016 12:30,Wall Street CFD,1,1,17650.3,17643.1,5.1
06/04/2016 12:10,UK 100 DFT,1,1,6115.5,6124.5,-9
06/04/2016 11:40,UK 100 DFT,1,0,6120,6115.5,-4.5
06/04/2016 11:30,UK 100 DFT,1,1,6116,6120,-4
06/04/2016 11:15,Wall Street CFD,1,0,17669.1,17650.3,-13.4
06/04/2016 11:10,UK 100 DFT,1,0,6123.5,6116,-7.5
